"page","position","agency_name","categories"
4,20,"Imperatore Travel World","Tour operator, Tour operator"
5,1,"Interhome","Agenzia di affitto di case vacanze, Chalet, Noleggio di appartamenti per vacanze, Casa vacanze, Appartamento vacanze, Servizio sistemazione per vacanze, Agenzia di affitto di case vacanze, Chalet, Noleggio di appartamenti per vacanze, Casa vacanze, Appartamento vacanze, Servizio sistemazione per vacanze"
5,2,"Caldana Europe Travel","Tour operator, Agenzia viaggi, Fornitore di escursioni culturali, Tour operator, Agenzia viaggi, Fornitore di escursioni culturali"
5,3,"Happy Age","Tour operator, Tour operator"
5,4,"Justvacanze","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
5,5,"lastminute.com","Viaggi e vacanze, Viaggi e vacanze"
5,6,"Goboony","Noleggio vacanze, Noleggio vacanze"
5,7,"Boscolo Gift","Negozio di articoli da regalo, Tour operator, Negozio di articoli da regalo, Tour operator"
5,8,"Eden Viaggi","Tour operator, Tour operator"
5,9,"Outspot","Viaggi e vacanze, Viaggi e vacanze"
5,10,"Vacansoleil Italia","Agenzia di affitto di roulotte, Servizio sistemazione per vacanze, Agenzia viaggi, Agenzia di affitto di roulotte, Servizio sistemazione per vacanze, Agenzia viaggi"
5,11,"Meet and Greet Italy","Agenzia viaggi, Agenzia viaggi"
5,12,"Volagratis","Agenzia viaggi, Agenzia viaggi"
5,13,"NOVASOL Italia","Cottage, Cottage"
5,14,"Curioseety","Agenzia viaggi, Tour operator, Artigianato, Attrazione turistica, Cantina, Vigneto, Ristorante, Maneggio, Agenzia viaggi, Tour operator, Artigianato, Attrazione turistica, Cantina, Vigneto, Ristorante, Maneggio"
5,15,"Rome & Vatican card","Fornitore di escursioni culturali, Fornitore di escursioni culturali"
5,16,"TransVoyage24","Servizio di trasporto, Servizio taxi, Noleggio di autobus, Servizio di navetta per l'aeroporto, Servizio di taxi con minibus, Azienda di trasporti in bus, Servizio di trasporto, Servizio taxi, Noleggio di autobus, Servizio di navetta per l'aeroporto, Servizio di taxi con minibus, Azienda di trasporti in bus"
5,17,"Evolution Travel","Tour operator, Agenzia viaggi, Tour operator, Agenzia viaggi"
5,18,"TSA - Airport transfers","Servizio di navetta per l'aeroporto, Servizio taxi, Servizio di navetta per l'aeroporto, Servizio taxi"
5,19,"Ticketcrociere","Agenzia di escursioni in crociera, Agenzia di escursioni in crociera"
5,20,"viaggiuniversitari.it","Tour operator, Tour operator"
6,1,"Planetcruise/it","Agenzia di escursioni in crociera, Agenzia di escursioni in crociera"
6,2,"Arte e Musei Italia","Agenzia per escursioni, Agenzia per escursioni"
6,3,"Toureventitalia","Agenzia viaggi, Agenzia viaggi"
6,4,"viaggia nel salento","Tour operator, Tour operator"
6,5,"Tohouse","Alloggio, Alloggio"
6,6,"Sicilyluxuryvillas.com","Agenzia di affitto di case vacanze, Noleggio vacanze, Agenzia di affitto di case vacanze, Noleggio vacanze"
6,7,"Select Sicily","Noleggio vacanze, Noleggio vacanze"
6,8,"Viaggincanto","Tour operator, Agenzia viaggi, Tour operator, Agenzia viaggi"
6,9,"VIAGGIATORI TUTELATI","Compagnia aerea, Compagnia aerea"
6,10,"Ovunque Running | Viaggi&Corse","Tour operator, Agenzia di viaggi sportivi, Tour operator, Agenzia di viaggi sportivi"
6,11,"Albus Alpacas | Passeggiate con Alpaca","Azienda di allevamento bestiame, Attrazione turistica, Passeggiata, Azienda di allevamento bestiame, Attrazione turistica, Passeggiata"
6,12,"Pazzi Per I Viaggi","Agenzia per escursioni in mongolfiera, Tour operator, Agenzia viaggi, Sito di raccolta di viaggi, Agenzia di escursioni turistiche, Agenzia per escursioni in mongolfiera, Tour operator, Agenzia viaggi, Sito di raccolta di viaggi, Agenzia di escursioni turistiche"
6,13,"Watabi","Tour operator, Tour operator"
6,14,"Wave Boat Como - Private Boat Tour on Lake Como","Agenzia di escursioni in barca, Agenzia di escursioni in crociera, Tour operator, Agenzia di escursioni in barca, Agenzia di escursioni in crociera, Tour operator"
6,15,"emeraldcruises.it","Agenzia di escursioni turistiche, Servizio di noleggio barche, Agenzia di escursioni turistiche, Servizio di noleggio barche"
6,16,"Leucaduemari","Agenzia di escursioni turistiche, Agenzia di escursioni turistiche"
6,17,"Exploreetna","Agenzia di escursioni turistiche, Agenzia di escursioni turistiche"
6,18,"Van1 Tour Operator","Tour operator, Tour operator"
6,19,"Salogi - Tuscany Villas & Farmhouses","Noleggio vacanze, Agenzia di affitti immobiliari, Pensione, Agenzia viaggi, Azienda per la gestione delle proprietà immobiliari, Noleggio vacanze, Agenzia di affitti immobiliari, Pensione, Agenzia viaggi, Azienda per la gestione delle proprietà immobiliari"
6,20,"Meersardinienurlaub","Tour operator, Tour operator"
7,1,"Lomaviaggi","Tour operator, Settimane bianche, Hotel per famiglie, Servizio di traghetti, Agenzia viaggi, Biglietteria ferroviaria, Tour operator, Settimane bianche, Hotel per famiglie, Servizio di traghetti, Agenzia viaggi, Biglietteria ferroviaria"
7,2,"OfferteVillaggi.com","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
7,3,"clictravel.it","Sito di raccolta di viaggi, Agenzia viaggi, Sito di raccolta di viaggi, Agenzia viaggi"
7,4,"Viaggigiovani.it","Agenzia viaggi, Tour operator, Agenzia viaggi, Tour operator"
7,5,"Villatravellers","Alloggio di gruppo, Servizio sistemazione per vacanze, Tour operator, Casa vacanze, Noleggio vacanze, Alloggio di gruppo, Servizio sistemazione per vacanze, Tour operator, Casa vacanze, Noleggio vacanze"
